Drug name,Drug ID,Drug target,Target Pathway,Feature Name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,log_max_conc_tested,log_max_conc_tested_2,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,tissue_pval,msi_pval,fdr,Tissue Type,Screening Set
"Camptothecin","1003","TOP1","DNA replication","SVEP1_mut","3","59",".98195491931852885","-.19322333694985416","-1.634730281044112","","",".26393735941264029","1.4415069440942578","1.6352482977658118","1.4618885388457079",".10230699282315833","","","38.365122308684384","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","TP53_mut","51","11",".1698251420274775","-1.6101162996198695","-1.3557113919853478","","",".59518719717454993","-.25440490763452162","1.5193897389556177","1.3863703134981564",".61133547163888924","","","60.286157923718008","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","U2AF1_mut","3","59","1.0306814441582186","-3.0016046257811007","-1.4919312324594725","","",".29524202075703021","-1.5096733933216282","1.8683803347307961","1.4488099843233728",".086726888645294598","","","37.168666562269124","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD1","38","24",".12504222572626689","-1.6375088902646298","-1.4501424484331766","","",".64272482561245425","-.18736644183145312","1.4288116002495153","1.6040860514613411",".63327180150826168","","","60.286157923718008","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD2","5","57",".68459506456107844","-.63660670709239886","-1.6464161939822841","","",".2528060415434954","1.0098094868898853","1.6703539247731367","1.4600965254809004",".14738745089099869","","","44.216235267299616","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD3","11","51",".21141503236337958","-1.8251884460577508","-1.5088565428591552","","",".42650411409694811","-.31633190319859561","1.0687518774457794","1.5678352803170186",".52722889048894694","","","58.515614090354241","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD5","4","58",".19855929560222679","-1.84350172197145","-1.5457715466304549","","",".7251618340534175","-.29773017534099511","1.5094209911105285","1.4989257046798126",".70226609055666878","","","63.842371868788085","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD6","5","57",".016547108026312096","-1.5421414957649726","-1.5669833177829353","","",".97768933752346388",".0248418220179627","1.8274544714388472","1.4752234558067765",".97181703638953254","","","69.415502599252335","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD7","4","58",".60606626665653451","-.72338319695424202","-1.6230211000799175","","",".34953098949904682",".89963790312567549","1.6119257415245078","1.4773712470763944",".24567861056727647","","","46.263287078550505","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD9","3","59",".16178779482274772","-1.3339854119848287","-1.5767254297711473","","",".88152352624430241",".2427400177863186","2.4800743526776023","1.4548572709878578",".78551450684726176","","","64.451675678683188","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD10","9","53",".23069889222391321","-1.2699142534650509","-1.615085439835221","","",".54181678300739311",".34517118637017008","1.5243243164546587","1.4918236340933029",".5246767257259215","","","58.515614090354241","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD11","10","52",".63510467582524499","-.78692174278154281","-1.7146065223968603","","",".080094350047624593",".92768477961531748","1.4054722847934003","1.4702075031009405",".070821175214270643","","","37.168666562269124","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD12","5","57",".61756834596606636","-2.4051749614095557","-1.4912786278141121","","",".16526199246680878","-.91389633359544353","1.1856919932606995","1.4986326868380504",".19050130469355298","","","46.263287078550505","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD13","6","56",".50040180923111433","-.89397671054886907","-1.6368731487349812","","",".27723342466969614",".74289643818611217","1.4478550723755608","1.4878952601772248",".24866575760205054","","","46.263287078550505","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD14","7","55",".087007621829276349","-1.68081076519913","-1.5502378406556045","","",".84505664609181885","-.13057292454352543","1.6218509157031722","1.4866370256169414",".8290870942598576","","","65.454244283672978","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD15","7","55",".30651458791194908","-1.1587360685824204","-1.616683711134095","","",".44494885454522026",".45794764255167464","1.4079065944387605","1.5033150957814057",".44797337229136003","","","58.515614090354241","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD16","7","55",".24358424392937095","-1.2415674921658026","-1.6061415299507553","","",".51776194039546497",".36457403778495268","1.3205884688834293","1.5150115261027191",".5461457315099727","","","58.515614090354241","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD17","5","57",".53051281830588948","-2.2894368113897148","-1.5014310971140985","","",".032948080418712278","-.78800571427561628",".55886871249191961","1.5302275514511299",".2598829319574118","","","46.263287078550505","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD18","7","55",".063010759693162499","-1.6488800308115557","-1.5543017523049325","","",".88893261922696798","-.094578278506623148","1.6474055464805308","1.4838257468105505",".87575790433246536","","","66.136136398563764","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD19","6","56",".28678907454628877","-1.9524317132099001","-1.523467255592728","","",".54143711791843563","-.42896445761717206","1.5489697660204835","1.490816487175846",".50692916352662643","","","58.515614090354241","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD21","7","55",".24648365742195358","-1.2377417871162837","-1.6066284378661491","","",".55337534582523962",".36888665074986537","1.4810843225440571","1.4983104848106792",".54139326563071966","","","58.515614090354241","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD22","7","55",".25850822524388445","-1.9080751151252049","-1.5213132870286499","","",".34730537586882004","-.38676182809655502",".88554188284539959","1.5491881652664781",".52191222436973395","","","58.515614090354241","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD23","4","58",".2407919382136125","-1.9025472343392995","-1.5416994423292236","","",".43886281959627393","-.36084779201007589",".75726413850728502","1.5276718053051499",".64305235118632531","","","60.286157923718008","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD25","4","58",".064560660749743162","-1.4743203592509371","-1.5712323302663522","","",".91515568096778077",".096911971015415155","1.642446161415523","1.4932895610183317",".90103075434171731","","","66.136136398563764","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD27","15","47",".53739919932236602","-2.160502274004175","-1.3749196272848843","","",".075681596075587942","-.78558264671929079","1.4125362454815713","1.4764971229081019",".074966574757356005","","","37.168666562269124","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD28","12","50",".56497031993108748","-.89791391710485702","-1.7250757917438779","","",".18402320353313109",".82716187463902091","1.9401237656451114","1.3340667631563357",".083926519236218855","","","37.168666562269124","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD29","10","52",".38682100814247022","-1.0829293968239635","-1.657681973542549","","",".22880505584529778",".57475257671858548","1.2831492454780047","1.5187989836993481",".26707041587734359","","","46.263287078550505","LUAD","GDSC2"
